"study","source","scan_id","crosscut","manual_code","manual_rep","groove_left_manual","groove_right_manual"
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet A/LAPD - 100 - Bullet A - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BA-L1",50,"HH",1,245.1,1929.448338
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet A/LAPD - 100 - Bullet A - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BA-L2",100,"HH",1,198.66,2062.065
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet A/LAPD - 100 - Bullet A - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BA-L3",50,"HH",1,269.61,2068.972069
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet A/LAPD - 100 - Bullet A - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BA-L4",100,"HH",1,283.8,2096.25
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet A/LAPD - 100 - Bullet A - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BA-L5",75,"HH",1,290.895,2080.77
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet A/LAPD - 100 - Bullet A - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BA-L6",50,"HH",1,282.51,1885.015124
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet B/LAPD - 100 - Bullet B - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BB-L1",75,"HH",1,183.825,1825.459218
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet B/LAPD - 100 - Bullet B - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BB-L2",50,"HH",1,234.78,2048.267756
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet B/LAPD - 100 - Bullet B - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BB-L3",100,"HH",1,245.1,2086.575
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet B/LAPD - 100 - Bullet B - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BB-L4",75,"HH",1,228.33,2064.645
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet B/LAPD - 100 - Bullet B - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BB-L5",75,"HH",1,275.415,2082.06
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet B/LAPD - 100 - Bullet B - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BB-L6",75,"HH",1,234.78,2013.057353
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet C/LAPD - 100 - Bullet C - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BC-L1",50,"HH",1,206.4,1954.534326
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet C/LAPD - 100 - Bullet C - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BC-L2",50,"HH",1,262.515,2000.794523
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet C/LAPD - 100 - Bullet C - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BC-L3",50,"HH",1,300.57,2027.235
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet C/LAPD - 100 - Bullet C - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BC-L4",100,"HH",1,274.125,2136.380514
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet C/LAPD - 100 - Bullet C - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BC-L5",75,"HH",1,312.825,2167.373176
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet C/LAPD - 100 - Bullet C - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BC-L6",50,"HH",1,234.135,2062.065
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet D/LAPD - 100 - Bullet D - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BD-L1",75,"HH",1,190.275,1957.575
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet D/LAPD - 100 - Bullet D - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BD-L2",75,"HH",1,212.2464129,1976.612942
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet D/LAPD - 100 - Bullet D - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BD-L3",100,"HH",1,305.73,2120.76
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet D/LAPD - 100 - Bullet D - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BD-L4",75,"HH",1,306.375,2091.735
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet D/LAPD - 100 - Bullet D - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BD-L5",75,"HH",1,258.645,2079.48
"LAPD-1","/media/Raven/LAPD/FAU 100/Bullet D/LAPD - 100 - Bullet D - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU100-BD-L6",75,"HH",1,245.1,2083.092942
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet A/LAPD - 101 - Bullet A - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BA-L1",100,"HH",1,234.135,2011.755
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet A/LAPD - 101 - Bullet A - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BA-L2",125,"HH",1,238.005,2020.785
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet A/LAPD - 101 - Bullet A - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BA-L3",100,"HH",1,292.3913492,2058.453244
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet A/LAPD - 101 - Bullet A - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BA-L4",175,"HH",1,258.645,2039.55199
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet A/LAPD - 101 - Bullet A - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BA-L5",50,"HH",1,301.215,2138.175
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet A/LAPD - 101 - Bullet A - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BA-L6",75,"HH",1,258,2059.485
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet B/LAPD - 101 - Bullet B - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BB-L1",75,"HH",1,237.36,2017.56
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet B/LAPD - 101 - Bullet B - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BB-L2",75,"HH",1,274.77,2093.67
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet B/LAPD - 101 - Bullet B - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BB-L3",50,"HH",1,288.96,2065.29
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet B/LAPD - 101 - Bullet B - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BB-L4",50,"HH",1,245.1,2038.845
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet B/LAPD - 101 - Bullet B - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BB-L5",50,"HH",1,209.625,1997.325419
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet B/LAPD - 101 - Bullet B - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BB-L6",325,"HH",1,250.1687475,2080.841843
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet C/LAPD - 101 - Bullet C - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BC-L1",75,"HH",1,308.31,2129.79
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet C/LAPD - 101 - Bullet C - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BC-L2",75,"HH",1,261.87,1973.055
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet C/LAPD - 101 - Bullet C - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BC-L3",75,"HH",1,299.28,2029.815
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet C/LAPD - 101 - Bullet C - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BC-L4",150,"HH",1,317.34,2090.445
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet C/LAPD - 101 - Bullet C - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BC-L5",100,"HH",1,299.28,2087.865
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet C/LAPD - 101 - Bullet C - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BC-L6",100,"HH",1,198.66,1980.044585
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet D/LAPD - 101 - Bullet D - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BD-L1",325,"HH",1,168.99,1989.108458
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet D/LAPD - 101 - Bullet D - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BD-L2",75,"HH",1,204.465,1987.245
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet D/LAPD - 101 - Bullet D - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BD-L3",150,"HH",1,295.1238555,2076.9
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet D/LAPD - 101 - Bullet D - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BD-L4",125,"HH",1,277.35,1918.461396
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet D/LAPD - 101 - Bullet D - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BD-L5",100,"HH",1,220.0132296,1970.19568
"LAPD-1","/media/Raven/LAPD/FAU 101/Bullet D/LAPD - 101 - Bullet D - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p","LAPD-FAU101-BD-L6",175,"HH",1,216.075,2027.612118
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet A/LAPD - 102 - Bullet A - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BA-L1",50,"HH",1,283.8,2100.12
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet A/LAPD - 102 - Bullet A - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BA-L2",50,"HH",1,236.715,2067.225
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet A/LAPD - 102 - Bullet A - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BA-L3",75,"HH",1,299.925,2108.505
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet A/LAPD - 102 - Bullet A - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BA-L4",75,"HH",1,328.305,2156.235
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet A/LAPD - 102 - Bullet A - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BA-L5",75,"HH",1,303.795,2137.53
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet A/LAPD - 102 - Bullet A - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BA-L6",50,"HH",1,277.995,2067.225
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet B/LAPD - 102 - Bullet B - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BB-L1",75,"HH",1,256.065,2048.165094
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet B/LAPD - 102 - Bullet B - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BB-L2",300,"HH",1,224.1887985,2065.29
"LAPD-1","/media/Raven/LAPD/FAU 102/Bullet B/LAPD - 102 - Bullet B - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p","LAPD-FAU102-BB-L3",300,"HH",1,213.8419249,2020.949598
